rk,name,gp,rushing_att,rushing_yds,rushing_avg,rushing_td,receiving_tgts,receiving_rec,receiving_yds,receiving_td,fum,fumbles_lost,fpts/g,2024_fpts/g
1,Christian McCaffrey,16,272,1459,5.4,14,83,67,564,7,3,2,24.5,11.9
2,Derrick Henry,17,280,1167,4.2,12,36,28,214,0,0,0,14.5,19.8
3,Kyren Williams,12,228,1144,5,12,48,32,206,3,3,2,21.2,17
4,James Cook,17,237,1122,4.7,2,54,44,445,4,4,2,13.7,16.7
5,D'Andre Swift,16,229,1049,4.6,5,49,39,214,1,3,1,12.5,12.6
6,James Conner,13,208,1040,5,7,33,27,165,2,0,0,15.5,15.9
7,Najee Harris,17,255,1035,4.1,8,38,29,170,0,2,1,11.5,12
8,Joe Mixon,17,257,1034,4,9,64,52,376,3,0,0,15.7,17.2
9,David Montgomery,14,219,1015,4.6,13,24,16,117,0,2,1,14.8,15.8
10,Raheem Mostert,15,209,1012,4.8,18,32,25,175,3,4,1,17.8,5.5
11,Travis Etienne Jr.,17,267,1008,3.8,11,73,58,476,1,0,0,16.6,8.7
12,Tony Pollard,17,252,1005,4,6,67,55,311,0,3,1,13.1,12.5
13,Breece Hall,17,223,994,4.5,5,95,76,591,4,2,0,17.1,15.1
14,Rachaad White,17,272,990,3.6,6,70,64,549,3,3,2,15.8,12.5
15,Bijan Robinson,17,214,976,4.6,4,86,58,487,4,4,3,14.5,20.1
16,Saquon Barkley,14,247,962,3.9,6,60,41,280,4,2,2,15.9,22.2
17,Jahmyr Gibbs,15,182,945,5.2,10,71,52,316,1,2,1,16.1,21.3
18,Isiah Pacheco,14,205,935,4.6,7,49,44,244,2,1,1,15.3,8.1
19,Kenneth Walker III,15,219,905,4.1,8,37,29,259,1,1,0,13.3,16.5
20,Chuba Hubbard,17,238,902,3.8,5,44,39,233,0,1,0,10.7,16.1
21,Devin Singletary,17,216,898,4.2,4,38,30,193,0,1,0,9.8,6.4
22,Jerome Ford,17,204,813,4,4,63,44,319,5,1,1,12.4,9.6
23,Gus Edwards,17,198,810,4.1,13,13,12,180,0,3,2,11,5.8
24,Josh Jacobs,13,233,805,3.5,6,54,37,296,0,3,1,13.9,17.2
25,De'Von Achane,11,103,800,7.8,8,37,27,197,3,1,1,17.3,17.6
26,Zack Moss,14,183,794,4.3,5,37,27,192,2,0,0,12.1,10.2
27,Jaylen Warren,17,149,784,5.3,4,74,61,370,0,4,2,11.6,8.3
28,Javonte Williams,16,217,774,3.6,3,58,47,228,2,1,1,11.2,9.3
29,Jonathan Taylor,10,169,741,4.4,7,23,19,153,1,1,0,15.6,17.6
30,Brian Robinson Jr.,15,178,733,4.1,5,43,36,368,4,4,2,13.2,11.4
31,Alexander Mattison,16,180,700,3.9,0,44,30,192,3,3,2,8.3,9.8
32,Alvin Kamara,13,180,694,3.9,5,86,75,466,1,0,0,17.9,18.9
33,Tyler Allgeier,17,186,683,3.7,4,23,18,193,1,0,0,8.1,6.2
34,Aaron Jones,11,142,656,4.6,2,43,30,233,1,2,1,12.3,14.2
35,Ezekiel Elliott,17,184,642,3.5,3,65,51,313,2,2,1,10.3,3.8
36,Austin Ekeler,14,179,628,3.5,5,74,51,436,1,5,4,13.2,11
37,Rhamondre Stevenson,12,156,619,4,4,51,38,238,0,1,1,12.1,11.7
39,Khalil Herbert,12,132,611,4.6,2,31,20,134,1,1,1,9.4,2.2
40,Zach Charbonnet,16,108,462,4.3,1,40,33,209,0,0,0,6.6,11
41,Ty Chandler,17,102,461,4.5,3,25,21,159,0,0,0,5.9,1.7
42,Tyjae Spears,17,100,453,4.5,2,70,52,385,1,1,0,9,9.5
43,Zamir White,17,104,451,4.3,1,19,15,98,0,1,1,4.3,3.7
44,Miles Sanders,16,129,432,3.3,1,41,27,154,0,2,2,5.5,7
45,D'Onta Foreman,9,109,425,3.9,4,16,11,77,1,1,0,10.1,3
46,Dameon Pierce,14,145,416,2.9,2,17,13,101,0,0,0,5.5,4
47,Kareem Hunt,15,135,411,3,9,21,15,84,0,0,0,7.9,12
48,Jaleel McLaughlin,17,76,410,5.4,1,36,31,160,2,0,0,6.2,6.1
51,Justice Hill,16,84,387,4.6,3,39,28,206,1,1,1,6.8,8.5
52,Kenneth Gainwell,16,84,364,4.3,2,37,30,183,0,3,1,6.1,3.7
53,Rico Dowdle,16,89,361,4.1,2,22,17,144,2,1,0,5.7,12.4
54,Roschon Johnson,15,81,352,4.3,2,40,34,209,0,1,0,6.8,5.5
56,Jamaal Williams,13,106,306,2.9,1,20,18,62,0,1,0,4.7,2.6
58,Pierre Strong Jr.,17,63,291,4.6,1,8,5,47,0,1,1,2.5,2.5
59,Emari Demercado,14,58,284,4.9,2,30,21,119,0,0,0,5.2,4.2
61,Antonio Gibson,16,65,265,4.1,1,59,48,389,2,3,2,8,6.1
62,Chris Rodriguez Jr.,13,51,247,4.8,2,2,2,12,0,1,1,2.9,3.5
63,Samaje Perine,17,53,238,4.5,1,56,50,455,0,3,2,7.1,4.8
66,Jordan Mason,17,40,206,5.2,3,4,3,31,0,0,0,2.6,9.6
68,Michael Carter,15,30,187,6.2,0,31,24,101,1,0,0,3.9,11.9
69,Cordarrelle Patterson,14,50,181,3.6,0,12,9,38,1,1,0,2.6,2.9
70,Chase Brown,12,44,179,4.1,0,15,14,156,1,1,0,4.5,15.9
71,Craig Reynolds,17,41,179,4.4,1,5,5,47,0,2,2,1.7,1.2
73,Nick Chubb,2,28,170,6.1,0,4,4,21,0,0,0,11.6,7.9
74,Cam Akers,7,60,167,2.8,2,12,11,70,0,0,0,6.7,5.5
75,Trey Sermon,14,35,160,4.6,0,6,3,13,0,0,0,1.4,3.2
76,Kendre Miller,8,41,156,3.8,1,11,10,117,0,0,0,5.4,4.9
78,Patrick Taylor Jr.,11,32,141,4.4,0,17,11,49,0,0,0,2.7,2.3
79,Tank Bigsby,17,50,132,2.6,2,4,1,6,0,2,2,1.3,8.1
80,Ty Johnson,10,30,132,4.4,0,7,7,62,1,1,0,3.2,5.4
81,Ronnie Rivers,9,32,129,4,0,5,5,22,0,0,0,2.2,1.1
84,D'Ernest Johnson,17,41,108,2.6,0,12,10,140,0,0,0,2,2.6
85,Chris Brooks,9,19,106,5.6,0,0,0,0,0,0,0,1.2,2.8
89,Ameer Abdullah,17,15,89,5.9,0,24,19,131,0,0,0,2.4,7.8
90,Tyler Goodson,6,13,87,6.7,0,9,6,34,0,0,0,3,2.8
92,Emanuel Wilson,7,14,85,6.1,0,5,4,23,0,1,0,2.1,5.6
